date,time,toplam,dogalgaz,ruzgar,linyit,tasKomur,ithalKomur,fuelOil,jeotermal,barajli,nafta,biokutle,akarsu,gunes,diger
2025-02-17 00:00:00+00:00,03:00,28392.53,8100.48,2513.92,3628.3,269.0,9299.7,7.5,1148.39,1750.13,0.0,940.72,592.09,0.0,142.3
2025-02-17 01:00:00+00:00,04:00,28133.02,7849.8,2612.61,3614.5,269.0,9313.8,7.5,1150.28,1669.33,0.0,942.06,561.84,0.0,142.3
2025-02-17 02:00:00+00:00,05:00,28842.6,8359.77,2697.74,3662.5,269.0,9324.5,7.5,1152.52,1674.33,0.0,940.94,611.49,0.01,142.3
2025-02-17 03:00:00+00:00,06:00,30550.21,9770.1,2827.28,3716.5,269.0,9334.5,7.5,1154.48,1699.93,0.0,939.97,680.15,0.0,150.8
2025-02-17 04:00:00+00:00,07:00,33624.97,11617.08,3047.19,3787.5,269.0,9329.5,7.5,1155.42,2363.73,0.0,946.0,909.51,38.64,153.9
2025-02-17 05:00:00+00:00,08:00,38053.75,12673.78,3346.95,3826.0,269.0,9351.5,10.8,1152.86,4238.83,0.0,955.31,1421.33,622.99,184.4
2025-02-17 06:00:00+00:00,09:00,39408.22,12818.8,3581.2,3642.19,269.0,9365.5,15.0,1148.51,4479.53,0.0,967.25,1387.64,1528.1,205.5
2025-02-17 07:00:00+00:00,10:00,38612.56,12613.89,3757.36,3676.19,269.0,9373.5,19.3,1142.43,3693.03,0.0,989.35,1068.76,1809.75,200.0
2025-02-17 08:00:00+00:00,11:00,37391.63,11235.24,4057.91,3670.59,269.0,9391.5,20.5,1118.13,3602.83,0.0,996.08,984.49,1844.46,200.9
2025-02-17 09:00:00+00:00,12:00,35573.17,9723.58,4325.2,3621.0,269.0,9351.5,21.5,1110.4,3291.13,0.0,1003.15,886.54,1768.87,201.3
2025-02-17 10:00:00+00:00,13:00,36010.76,9910.98,4638.22,3666.8,269.0,9326.5,18.5,1101.36,3255.13,0.0,1024.36,835.71,1762.9,201.3
2025-02-17 11:00:00+00:00,14:00,37061.0,10349.75,4735.72,3685.0,269.0,9290.5,17.2,1099.55,3590.33,0.0,1032.68,1022.47,1768.5,200.3
2025-02-17 12:00:00+00:00,15:00,38796.61,11811.43,4784.38,3565.9,269.0,9267.5,14.5,1091.04,4126.73,0.0,1024.35,1034.08,1608.6,199.1
2025-02-17 13:00:00+00:00,16:00,41284.05,13659.09,4591.3,3554.1,269.0,9253.5,10.5,1086.71,5266.53,0.0,1010.88,1163.93,1220.21,198.3
2025-02-17 14:00:00+00:00,17:00,42953.73,13801.91,4325.4,3568.0,269.0,9262.5,9.5,1086.99,7214.63,0.0,1001.94,1779.44,436.82,197.6
2025-02-17 15:00:00+00:00,18:00,43649.14,14004.31,4274.41,3566.7,269.0,9276.5,7.5,1093.45,8087.93,0.0,993.94,1867.1,11.2,197.1
2025-02-17 16:00:00+00:00,19:00,43286.26,14029.24,4209.13,3592.5,269.0,9316.5,7.5,1103.01,7784.13,0.0,993.46,1784.79,0.0,197.0
2025-02-17 17:00:00+00:00,20:00,42459.95,14035.96,4146.44,3609.5,269.0,9401.5,7.5,1113.34,7071.73,0.0,992.24,1615.74,0.0,197.0
2025-02-17 18:00:00+00:00,21:00,41318.33,13797.94,4169.21,3603.5,269.0,9416.5,7.5,1121.19,6260.53,0.0,993.84,1482.12,0.0,197.0
2025-02-17 19:00:00+00:00,22:00,39954.49,12806.37,4151.48,3605.5,269.0,9416.5,7.5,1126.93,6305.53,0.0,991.17,1077.51,0.0,197.0
2025-02-17 20:00:00+00:00,23:00,38194.12,11825.64,4133.29,3559.25,269.0,9416.5,7.5,1133.21,5595.43,0.0,985.89,1071.41,0.0,197.0
2025-02-17 21:00:00+00:00,00:00,35521.24,10224.82,3971.11,3593.1,253.0,9422.5,0.7,1133.27,4683.13,0.0,966.38,1060.33,0.0,212.9
2025-02-17 22:00:00+00:00,01:00,33425.87,9654.11,3972.03,3534.1,253.0,9372.5,0.7,1135.7,3282.13,0.0,966.92,1041.78,0.0,212.9
2025-02-17 23:00:00+00:00,02:00,32080.18,9252.43,3885.17,3524.1,253.0,9397.5,0.7,1138.11,2567.13,0.0,968.42,889.22,0.0,204.4
2025-02-18 00:00:00+00:00,03:00,31134.37,8834.34,3863.81,3472.1,253.0,9414.5,0.7,1140.81,2281.83,0.0,967.37,702.41,0.0,203.5
2025-02-18 01:00:00+00:00,04:00,30822.96,8620.54,3873.72,3474.1,253.0,9414.5,0.7,1142.65,2195.93,0.0,967.23,679.29,0.0,201.3
2025-02-18 02:00:00+00:00,05:00,31881.76,9422.04,3867.9,3722.1,253.0,9414.5,0.7,1145.34,2201.03,0.0,967.02,686.82,0.01,201.3
2025-02-18 03:00:00+00:00,06:00,32998.59,10388.12,3782.88,3742.1,253.0,9414.5,0.7,1148.8,2226.63,0.0,971.7,860.24,0.12,209.8
2025-02-18 04:00:00+00:00,07:00,36105.08,12705.6,3680.94,3784.1,253.0,9382.5,0.7,1148.55,2849.93,0.0,977.49,1068.99,40.38,212.9
2025-02-18 05:00:00+00:00,08:00,40632.57,15079.09,3666.13,3817.1,253.0,9384.5,0.7,1146.15,4230.93,0.0,992.48,1417.48,439.01,206.0
2025-02-18 06:00:00+00:00,09:00,42081.9,15446.06,3629.94,3732.3,253.0,9392.5,0.7,1140.5,4769.63,0.0,1009.69,1554.78,945.9,206.9
2025-02-18 07:00:00+00:00,10:00,41584.39,15421.8,3532.65,3765.19,253.0,9400.5,0.7,1130.99,4292.43,0.0,1028.56,1314.72,1235.75,208.1
2025-02-18 08:00:00+00:00,11:00,41118.88,15333.48,3445.78,3799.8,253.0,9396.5,0.7,1119.56,4204.33,0.0,998.43,1175.09,1183.11,209.1
2025-02-18 09:00:00+00:00,12:00,39661.41,15280.11,3359.39,3807.6,253.0,9392.5,0.7,1109.53,3273.23,0.0,997.01,997.28,981.96,209.1
2025-02-18 10:00:00+00:00,13:00,39752.74,15282.27,3465.94,3433.6,253.0,9392.5,0.7,1106.01,3658.63,0.0,999.58,979.23,972.18,209.1
2025-02-18 11:00:00+00:00,14:00,40786.46,15353.16,3558.36,3451.5,253.0,9421.5,0.7,1100.39,4425.53,0.0,1015.5,1116.41,882.31,208.1
